           x [mm]           y [mm]           z [mm]      x [V.s/m^2]      y [V.s/m^2]      z [V.s/m^2]
           -243.9               74             7.13     0.0014572856    -0.0019026959    0.00070086948
           -242.9               74             7.13     0.0015070613    -0.0019557346    0.00072364329
           -241.9               74             7.13     0.0015577478    -0.0020087766    0.00074668747
           -240.9               74             7.13     0.0015984527    -0.0020598145    0.00076662062
           -239.9               74             7.13     0.0016380686    -0.0021115374     0.0007864295
           -238.9               74             7.13     0.0016792874    -0.0021660361    0.00080617977
           -237.9               74             7.13      0.001725185    -0.0022267227     0.0008251589
           -236.9               74             7.13     0.0017717313    -0.0022880784    0.00084442564
           -235.9               74             7.13     0.0018189263    -0.0023501031    0.00086398021
           -234.9               74             7.13     0.0018667697    -0.0024127972    0.00088382233
           -244.9               64             8.13     0.0017916281    -0.0013450851    0.00085775577
           -243.9               64             8.13     0.0018508129    -0.0013887581    0.00088344788
           -242.9               64             8.13     0.0019107312    -0.0014326768    0.00090946973
           -241.9               64             8.13     0.0019713833    -0.0014768416     0.0009358215
           -240.9               64             8.13     0.0020327684     -0.001521252    0.00096250302
           -239.9               64             8.13      0.002097063    -0.0015688757    0.00098929054
           -238.9               64             8.13     0.0021636055      -0.00161888     0.0010162876
           -237.9               64             8.13     0.0022308792    -0.0016692139     0.0010436591
           -236.9               64             8.13     0.0022988836     -0.001719877      0.001071405
           -235.9               64             8.13     0.0023707843    -0.0017687854     0.0011015744
           -234.9               64             8.13     0.0024526236    -0.0018128864     0.0011379847
           -244.9               65             8.13      0.001760717    -0.0014008238    0.00084188586
           -243.9               65             8.13     0.0018188052    -0.0014457282     0.0008672527
           -242.9               65             8.13     0.0018776268    -0.0014908782    0.00089294906
           -241.9               65             8.13     0.0019371819    -0.0015362743    0.00091897545
           -240.9               65             8.13     0.0019974711    -0.0015819162    0.00094533159
           -239.9               65             8.13     0.0020602089    -0.0016302547     0.0009718769
           -238.9               65             8.13      0.002125605    -0.0016816508    0.00099862705
           -237.9               65             8.13     0.0021917322    -0.0017333768     0.0010257518
           -236.9               65             8.13       0.00225859    -0.0017854323      0.001053251
           -235.9               65             8.13     0.0023261791    -0.0018378175     0.0010811248
           -234.9               65             8.13     0.0024025897    -0.0018860353     0.0011146558
           -244.9               66             8.13     0.0017285231    -0.0014559809     0.0008255493
           -243.9               66             8.13     0.0017855146    -0.0015021164    0.00085059053
           -242.9               66             8.13     0.0018432398    -0.0015484981    0.00087596168
           -241.9               66             8.13     0.0019016984    -0.0015951255    0.00090166274
           -240.9               66             8.13     0.0019608899    -0.0016419984    0.00092769321
           -239.9               66             8.13     0.0020220841    -0.0016910122    0.00095397705
           -238.9               66             8.13      0.002086333    -0.0017438007    0.00098048046
           -237.9               66             8.13     0.0021513135    -0.0017969187     0.0010073583
           -236.9               66             8.13     0.0022170253    -0.0018503666     0.0010346109
           -235.9               66             8.13     0.0022834677    -0.0019041438      0.001062238
           -234.9               66             8.13     0.0023513478     -0.001957888     0.0010907091
           -244.9               67             8.13     0.0016950463    -0.0015105562    0.00080874591
           -243.9               67             8.13     0.0017509413     -0.001557923    0.00083346182
           -242.9               67             8.13     0.0018075699    -0.0016055361    0.00085850758
           -241.9               67             8.13     0.0018649315    -0.0016533948    0.00088388298
           -240.9               67             8.13     0.0019230267    -0.0017014991     0.0009095883
           -239.9               67             8.13     0.0019826875    -0.0017511492    0.00093559141
           -238.9               67             8.13     0.0020457907    -0.0018053299    0.00096184795
           -237.9               67             8.13     0.0021096244    -0.0018598401    0.00098847912
           -236.9               67             8.13     0.0021741888    -0.0019146795     0.0010154846
           -235.9               67             8.13     0.0022394846    -0.0019698488     0.0010428646
